causa,nivel,frecuencia,nivel_probabilidad,origen
DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO,1,13845.0,1.0,manual
"PARTO ÚNICO ESPONTÁNEO, SIN OTRA ESPECIFICACIÓN",2,13588.0,1.0,manual
CÁLCULO DEL RIÑÓN CON CÁLCULO DEL URÉTER,2,12950.0,1.0,manual
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL OVARIO,2,12837.0,1.0,manual
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA MAMA,2,12791.0,1.0,manual
OTROS TRASTORNOS DE LOS MENISCOS,2,12686.0,1.0,manual
OTROS QUISTES OVÁRICOS Y LOS NO ESPECIFICADOS,2,12573.0,1.0,manual
EPILEPSIA Y SÍNDROMES EPILÉPTICOS IDIOPÁTICOS RELACIONADOS CON LOCALIZACIONES (FOCALES)(PARCIALES) Y CON ATAQUES DE INICIO LOCALIZADO,1,12478.0,1.0,manual
FRACTURA DE LA RÓTULA,2,12431.0,1.0,manual
HIPERMETROPÍA,1,12402.0,1.0,manual
OTRAS ENFERMEDADES INFECCIOSAS Y LAS NO ESPECIFICADAS,1,12398.0,1.0,manual
ESGUINCES Y TORCEDURAS QUE COMPROMETEN EL LIGAMENTO CRUZADO (ANTERIOR) (POSTERIOR) DE LA RODILLA,2,12063.0,1.0,manual
HEMORROIDES INTERNAS TROMBOSADAS,2,12048.0,1.0,manual
PARTO UNICO POR CESAREA,2,11900.0,1.0,manual
CONSULTA PARA ATENCIÓN Y SUPERVISIÓN DE LA SALUD DE OTROS NIÑOS O LACTANTES SANOS,1,11741.0,1.0,manual
"DESGARRO DE MENISCOS, PRESENTE",2,11562.0,1.0,manual
PRUEBA Y AJUSTE DE ANTEOJOS Y LENTES DE CONTACTO,1,11505.0,1.0,manual
MIOPÍA,1,11446.0,1.0,manual
OTROS TRASTORNOS INTERNOS DE LA RODILLA,2,11318.0,1.0,manual
OTROS RECIÉN NACIDOS PRETÉRMINO,3,11200.0,1.0,manual
PRESENCIA DE ANTEOJOS Y LENTES DE CONTACTO,1,11087.0,1.0,manual
OTRAS CONSULTAS ESPECIFICADAS,1,11067.0,1.0,manual
VÁRICES ESCROTALES,2,10681.0,1.0,manual
"HERNIA INGUINAL UNILATERAL O NO ESPECIFICADA, SIN OBSTRUCCIÓN NI GANGRENA",2,10644.0,1.0,manual
"HERNIA UMBILICAL CON OBSTRUCCIÓN, SIN GANGRENA",2,10588.0,1.0,manual
EXAMEN DE LABORATORIO,1,10145.0,1.0,manual
EMBARAZO ABDOMINAL,3,10090.0,1.0,manual
DIENTES INCLUIDOS E IMPACTADOS,2,9933.0,1.0,manual
FRACTURA DE LOS HUESOS DE LA NARIZ,1,9705.0,1.0,manual
"INFECCIÓN DEBIDA A CORONAVIRUS, DE SITIO NO ESPECIFICADO",2,9416.0,1.0,manual
TRAUMATISMO DE ESTRUCTURAS MÚLTIPLES DE LA RODILLA,2,9396.0,1.0,manual
CARDIOMIOPATÍA ISQUÉMICA,3,9274.0,1.0,manual
FRACTURA DE LA CLAVÍCULA,2,9225.0,1.0,manual
LUXACIÓN DE LA ARTICULACIÓN DEL TOBILLO,2,9157.0,1.0,manual
INFARTO TRANSMURAL AGUDO DEL MIOCARDIO DE LA PARED ANTERIOR,3,9012.0,1.0,manual
"CONSULTA, NO ESPECIFICADA",1,8925.0,1.0,manual
OTRAS RINITIS ALÉRGICAS,1,8918.0,1.0,manual
RINITIS VASOMOTORA,1,8910.0,1.0,manual
CÁLCULO DE LA VESÍCULA BILIAR CON OTRA COLECISTITIS,2,8769.0,1.0,manual
COLECISTITIS CRÓNICA,2,8768.0,1.0,manual
"PREPUCIO REDUNDANTE, FIMOSIS Y PARAFIMOSIS",2,8708.0,1.0,manual
"GASTRITIS, NO ESPECIFICADA",1,8565.0,1.0,manual
ANGINA INESTABLE,3,8481.0,1.0,manual
OTROS TRASTORNOS ESPECIFICADOS DE LA NARIZ Y DE LOS SENOS PARANASALES,1,8478.0,1.0,manual
OTRAS GASTRITIS AGUDAS,1,8477.0,1.0,manual
CATARATA SENIL INCIPIENTE,2,8469.0,1.0,manual
OTROS TRASTORNOS DE LA REFRACCIÓN,1,8449.0,1.0,manual
"ARTRITIS REUMATOIDE, NO ESPECIFICADA",1,8323.0,1.0,manual
QUISTE FOLICULAR DEL OVARIO,2,8298.0,1.0,manual
"HERNIA INGUINAL BILATERAL, SIN OBSTRUCCIÓN NI GANGRENA",2,8045.0,1.0,manual
"TRAUMATISMO, NO ESPECIFICADO",1,7840.0,1.0,manual
FRACTURA DE LA EPÍFISIS INFERIOR DEL RADIO,2,7840.0,1.0,manual
"RINITIS ALÉRGICA, NO ESPECIFICADA",1,7775.0,1.0,manual
INSUFICIENCIA RENAL TERMINAL,3,7772.0,1.0,manual
"DIABETES MELLITUS NO ESPECIFICADA, CON COMA",3,7746.0,1.0,manual
SUFRIMIENTO MATERNO DURANTE EL TRABAJO DE PARTO Y EL PARTO,2,7520.0,1.0,manual
ENFERMEDAD DIVERTICULAR DEL INTESTINO DELGADO CON PERFORACIÓN Y ABSCESO,3,7502.0,1.0,manual
LEIOMIOMA DEL UTERO,2,7149.0,1.0,manual
FRACTURA DE OTRO DEDO DE LA MANO,1,7085.0,1.0,manual
"TRASTORNO INTERNO DE LA RODILLA, NO ESPECIFICADO",2,7073.0,1.0,manual
AMIGDALITIS CRÓNICA,2,7063.0,1.0,manual
ENFERMEDAD DEL REFLUJO GASTROESOFÁGICO SIN ESOFAGITIS,1,7004.0,1.0,manual
"NEUMONÍA, NO ESPECIFICADA",2,6908.0,1.0,manual
"HIPOTIROIDISMO, NO ESPECIFICADO",1,6846.0,1.0,manual
HERNIA DIAFRAGMÁTICA SIN OBSTRUCCIÓN NI GANGRENA,2,6844.0,1.0,manual
PTERIGIÓN,2,6775.0,1.0,manual
"TRAUMATISMOS SUPERFICIALES MÚLTIPLES, NO ESPECIFICADOS",1,6773.0,1.0,manual
FRACTURA DE LA DIÁFISIS DEL RADIO,2,6755.0,1.0,manual
"DIABETES MELLITUS TIPO 1, CON COMA",3,6744.0,1.0,manual
TRASTORNO INTERNO DE LA RODILLA,2,6740.0,1.0,manual
TUMOR MALIGNO DE LA GLÁNDULA TIROIDES,3,6709.0,1.0,manual
OTRAS GASTRITIS,1,6676.0,1.0,manual
"CATARATA INFANTIL, JUVENIL Y PRESENIL",2,6670.0,1.0,manual
OTRAS LESIONES DEL HOMBRO,2,6509.0,1.0,manual
APENDICITIS AGUDA,2,6405.0,1.0,manual
FRACTURA DEL HUESO ESCAFOIDES [NAVICULAR] DE LA MANO,2,6344.0,1.0,manual
ASMA PREDOMINANTEMENTE ALÉRGICA,1,6295.0,1.0,manual
OTROS TRASTORNOS DE LA NARIZ Y DE LOS SENOS PARANASALES,1,6236.0,1.0,manual
PÓLIPO DEL CUERPO DEL ÚTERO,2,6146.0,1.0,manual
ESGUINCES Y TORCEDURAS DE LA COLUMNA CERVICAL,1,6135.0,1.0,manual
SÍNDROME DEL MANGUITO ROTATORIO,2,6134.0,1.0,manual
"TRASTORNOS DEL METABOLISMO DE LAS PROTEÍNAS PLASMÁTICAS, NO CLASIFICADOS EN OTRA PARTE",1,6105.0,1.0,manual
TRASTORNO DE DISCO CERVICAL CON RADICULOPATÍA,2,6095.0,1.0,manual
"HERIDA DE DEDO(S) DE LA MANO, SIN DAÑO DE LA(S) UÑA(S)",1,6053.0,1.0,manual
ESCLEROSIS MÚLTIPLE,3,6051.0,1.0,manual
TUMOR MALIGNO DE LA PRÓSTATA,3,6045.0,1.0,manual
"ABSCESO, FURÚNCULO Y CARBUNCO DE LA NARIZ",1,6012.0,1.0,manual
FRACTURA DE LA EPÍFISIS SUPERIOR DEL CÚBITO,2,5972.0,1.0,manual
ENDOMETRIOSIS DEL ÚTERO,2,5932.0,1.0,manual
SÍNDROME DEL COLON IRRITABLE SIN DIARREA,1,5898.0,1.0,manual
LUXACIÓN DE LA ARTICULACIÓN DEL HOMBRO,2,5800.0,1.0,manual
"OTRAS NEUMONÍAS, DE MICROORGANISMO NO ESPECIFICADO",2,5685.0,1.0,manual
TROMBOSIS CORONARIA QUE NO RESULTA EN INFARTO DEL MIOCARDIO,3,5660.0,1.0,manual
QUERATOCONO,2,5655.0,1.0,manual
CARCINOMA IN SITU LOBULAR,3,5604.0,1.0,manual
TRAUMATISMO DEL TENDÓN DE AQUILES,2,5472.0,1.0,manual
MIGRAÑA SIN AURA [MIGRAÑA COMÚN],1,5416.0,1.0,manual
"DIABETES MELLITUS TIPO 2, SIN MENCIÓN DE COMPLICACIÓN",1,5384.0,1.0,manual
HIPERTROFIA DE LAS AMÍGDALAS CON HIPERTROFIA DE LAS ADENOIDES,2,5302.0,1.0,manual
"GONARTROSIS PRIMARIA, BILATERAL",2,5264.0,1.0,manual
CAPSULITIS ADHESIVA DEL HOMBRO,1,5248.0,1.0,manual
LUXACIÓN DE LA RÓTULA,2,5246.0,1.0,manual
"CATARATA, NO ESPECIFICADA",2,5175.0,1.0,manual
ATRICIÓN EXCESIVA DE LOS DIENTES,1,5140.0,1.0,manual
OTROS TRASTORNOS DEL DESARROLLO Y CRECIMIENTO ÓSEO,1,5077.0,1.0,manual
EXAMEN DE OJOS Y DE LA VISIÓN,1,5038.0,1.0,manual
LEUCEMIA LINFOBLÁSTICA AGUDA [LLA],3,5028.0,1.0,manual
CAMBIOS POSTERUPTIVOS DEL COLOR DE LOS TEJIDOS DENTALES DUROS,1,5000.0,1.0,manual
HALLUX VALGUS (ADQUIRIDO),2,4906.0,1.0,manual
"TRASTORNO DE DISCO LUMBAR Y OTROS, CON RADICULOPATIA",2,4851.0,1.0,manual
TUMOR MALIGNO DEL CIEGO,3,4842.0,1.0,manual
TRAUMATISMOS SUPERFICIALES QUE AFECTAN LA CABEZA CON EL CUELLO,1,4809.0,1.0,manual
ALERGIA NO ESPECIFICADA,1,4753.0,1.0,manual
DIABETES MELLITUS NO INSULINODEPENDIENTE CON COMA,3,4690.0,1.0,manual
FRACTURA DE LA DIÁFISIS DEL CÚBITO Y DEL RADIO,2,4560.0,1.0,manual
ABSCESO ANAL,2,4557.0,1.0,manual
NEFRITIS TUBULOINTERSTICIAL AGUDA,3,4501.0,1.0,manual
FÍSTULA ANAL,2,4448.0,1.0,manual
DIABETES MELLITUS TIPO 2,1,4433.0,1.0,manual
FRACTURA DE LA DIÁFISIS DE LA TIBIA,2,4405.0,1.0,manual
CATARATA SENIL,2,4389.0,1.0,manual
FRACTURA DEL PERONÉ SOLAMENTE,2,4372.0,1.0,manual
PANCREATITIS IDIOPÁTICA AGUDA,3,4336.0,1.0,manual
TUMOR MALIGNO DE LA MAMA,3,4278.0,1.0,manual
CALCULO DEL RIÑON Y DEL URETER,2,4247.0,1.0,manual
LEIOMIOMA INTRAMURAL DEL ÚTERO,2,4243.0,1.0,manual
OTRA RUPTURA ESPONTÁNEA DEL (DE LOS) LIGAMENTO(S) DE LA RODILLA,2,4225.0,1.0,manual
TRASTORNO RELACIONADO CON EL VAPEO (VAPING),3,4223.0,1.0,manual
ESGUINCES Y TORCEDURAS DE OTRAS PARTES Y LAS NO ESPECIFICADAS DE LA RODILLA,1,4204.0,1.0,manual
TUMOR MALIGNO DEL OVARIO,3,4195.0,1.0,manual
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA GLÁNDULA TIROIDES,2,4176.0,1.0,manual
ABORTO RETENIDO,2,4154.0,1.0,manual
OTROS TRAUMATISMOS ESPECIFICADOS QUE AFECTAN MÚLTIPLES REGIONES DEL CUERPO,3,4151.0,1.0,manual
SÍNDROME DEL COLON IRRITABLE CON DIARREA,1,4089.0,1.0,manual
"DIABETES MELLITUS TIPO 1, SIN MENCIÓN DE COMPLICACIÓN",1,4087.0,1.0,manual
HIPERPLASIA DE GLÁNDULA DEL ENDOMETRIO,2,4080.0,1.0,manual
"INFARTO AGUDO DEL MIOCARDIO, SIN OTRA ESPECIFICACIÓN",3,4034.0,1.0,manual
FRACTURA DE OTROS HUESOS METACARPIANOS,2,4026.0,1.0,manual
"BRONQUITIS AGUDA, NO ESPECIFICADA",1,4007.0,1.0,manual
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL TESTÍCULO,2,3990.0,1.0,manual
PAPILOMAVIRUS COMO CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPÍTULOS,1,3971.0,1.0,manual
FRACTURA DE HUESO DEL METATARSO,2,3963.0,1.0,manual
TRASTORNO DE DISCO CERVICAL CON MIELOPATÍA,3,3944.0,1.0,manual
OTROS TRASTORNOS ESPECIFICADOS DE LOS DISCOS INTERVERTEBRALES,2,3939.0,1.0,manual
"CARCINOMA IN SITU DE LA MAMA, PARTE NO ESPECIFICADA",2,3929.0,1.0,manual
ESGUINCES Y TORCEDURAS DE LA COLUMNA LUMBAR,1,3919.0,1.0,manual
CÁLCULO DE CONDUCTO BILIAR CON COLECISTITIS,2,3909.0,1.0,manual
SÍNDROME DE DIFICULTAD RESPIRATORIA DEL RECIÉN NACIDO,3,3891.0,1.0,manual
SÍNDROME DEL TÚNEL CARPIANO,2,3877.0,1.0,manual
FIBROADENOSIS DE MAMA,1,3869.0,1.0,manual
"HEMORROIDES NO ESPECIFICADAS, SIN COMPLICACIÓN",1,3856.0,1.0,manual
OTROS TRASTORNOS ESPECIFICADOS DEL METABOLISMO,1,3815.0,1.0,manual
CERVICALGIA,1,3813.0,1.0,manual
"BRONCONEUMONÍA, NO ESPECIFICADA",2,3803.0,1.0,manual
RINOFARINGITIS AGUDA [RESFRIADO COMÚN],1,3799.0,1.0,manual
"COLECISTITIS, NO ESPECIFICADA",2,3795.0,1.0,manual
"EVENTO NO ESPECIFICADO, DE INTENCIÓN NO DETERMINADA, VIVIENDA",1,3786.0,1.0,manual
MIELOMA MÚLTIPLE,3,3778.0,1.0,manual
LUPUS ERITEMATOSO DISCOIDE,1,3774.0,1.0,manual
PUBERTAD PRECOZ,1,3753.0,1.0,manual
FRACTURA DE LOS HUESOS DE OTRO(S) DEDO(S) DEL PIE,1,3750.0,1.0,manual
ESOFAGITIS,1,3729.0,1.0,manual
APENDICITIS AGUDA CON ABSCESO PERITONEAL,3,3719.0,1.0,manual
CONTUSIÓN DEL HOMBRO Y DEL BRAZO,1,3716.0,1.0,manual
CONCUSIÓN,2,3682.0,1.0,manual
"CAÍDA EN EL MISMO NIVEL POR DESLIZAMIENTO, TROPEZÓN Y TRASPIÉ, VIVIENDA",1,3629.0,1.0,manual
FRACTURA DE LA EPÍFISIS INFERIOR DEL HÚMERO,2,3624.0,1.0,manual
ENFERMEDAD DEL REFLUJO GASTROESOFAGICO,1,3599.0,1.0,manual
COLELITIASIS,2,3591.0,1.0,manual
EXAMEN PARA FINES DE SEGUROS,1,3569.0,1.0,manual
"ESTADO DE EMBARAZO, INCIDENTAL",1,3538.0,1.0,manual
NEUMONÍA DEBIDA A ADENOVIRUS,2,3500.0,1.0,manual
HIPERTROFIA DE LOS CORNETES NASALES,2,3479.0,1.0,manual
FRACTURA DEL CALCÁNEO,2,3469.0,1.0,manual
GINGIVITIS Y ENFERMEDADES PERIODONTALES,1,3441.0,1.0,manual
TRAUMATISMO DEL MÚSCULO(S) Y TENDÓN(ES) DEL MANGUITO ROTATORIO DEL HOMBRO,2,3430.0,1.0,manual
"ENFERMEDAD RENAL CRÓNICA, NO ESPECIFICADA",3,3425.0,1.0,manual
FIEBRE DEL DENGUE [DENGUE CLÁSICO],2,3413.0,1.0,manual
"CATARATA SENIL, NO ESPECIFICADA",2,3407.0,1.0,manual
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL RIÑÓN,3,3401.0,1.0,manual
FRACTURA DE LA DIÁFISIS DEL HÚMERO,2,3388.0,1.0,manual
TUMOR BENIGNO DEL OVARIO,2,3365.0,1.0,manual
"EPILEPSIA, TIPO NO ESPECIFICADO",1,3361.0,1.0,manual
COLITIS Y GASTROENTERITIS DEBIDAS A RADIACIÓN,2,3356.0,1.0,manual
PANCOLITIS ULCERATIVA (CRÓNICA),3,3356.0,1.0,manual
SOSPECHA DE GLAUCOMA,1,3346.0,1.0,manual
ENDOMETRIOSIS DEL OVARIO,2,3337.0,1.0,manual
"HEMORROIDES NO ESPECIFICADAS, CON OTRAS COMPLICACIONES",2,3334.0,1.0,manual
QUISTE EN DESARROLLO DEL OVARIO,1,3332.0,1.0,manual
"OSTEOPOROSIS POSTMENOPÁUSICA, SIN FRACTURA PATOLÓGICA",1,3317.0,1.0,manual
ARTRITIS REUMATOIDE SERONEGATIVA,1,3311.0,1.0,manual
"CÁLCULO URINARIO, NO ESPECIFICADO",2,3307.0,1.0,manual
LUMBAGO CON CIÁTICA,1,3294.0,1.0,manual
DISPLASIA CERVICAL LEVE,1,3286.0,1.0,manual
HIPERCOLESTEROLEMIA PURA,1,3279.0,1.0,manual
HEMORROIDES INTERNAS CON OTRAS COMPLICACIONES,2,3277.0,1.0,manual
OTRAS COLECISTITIS,2,3269.0,1.0,manual
"GASTRITIS CRÓNICA, NO ESPECIFICADA",1,3259.0,1.0,manual
SÍNDROME DE OVARIO POLIQUÍSTICO,1,3249.0,1.0,manual
HERIDA DE OTRAS PARTES DE LA CABEZA,1,3228.0,1.0,manual
"ATENCIÓN MÉDICA, NO ESPECIFICADA",1,3197.0,1.0,manual
"COXARTROSIS PRIMARIA, BILATERAL",2,3192.0,1.0,manual
SINUSITIS MAXILAR CRÓNICA,1,3184.0,1.0,manual
CÁLCULO DE LA VESÍCULA BILIAR SIN COLECISTITIS,2,3161.0,1.0,manual
LUXACIÓN DE LA ARTICULACIÓN ACROMIOCLAVICULAR,2,3139.0,1.0,manual
HERIDA DEL CUERO CABELLUDO,1,3129.0,1.0,manual
NEUMONÍA DEBIDA A OTROS VIRUS,2,3121.0,1.0,manual
ENFERMEDAD DIVERTICULAR DEL INTESTINO GRUESO SIN PERFORACIÓN NI ABSCESO,1,3114.0,1.0,manual
"COVID-19, VIRUS NO IDENTIFICADO",2,3107.0,1.0,manual
OTROS TRASTORNOS DE LOS DISCOS INTERVERTEBRALES,2,3100.0,1.0,manual
"HERNIA INGUINAL UNILATERAL O NO ESPECIFICADA, CON OBSTRUCCIÓN, SIN GANGRENA",3,3035.0,1.0,manual
QUISTE PILONIDAL CON ABSCESO,2,3031.0,1.0,manual
"COLITIS ULCERATIVA, SIN OTRA ESPECIFICACIÓN",3,3028.0,1.0,manual
BRONQUITIS AGUDA DEBIDA A MYCOPLASMA PNEUMONIAE,1,3006.0,1.0,manual
TRAUMATISMO SUPERFICIAL DEL CUERO CABELLUDO,1,2988.0,1.0,manual
LINFADENITIS MESENTÉRICA INESPECÍFICA,2,2983.0,1.0,manual
FRACTURA DE LA EPÍFISIS SUPERIOR DEL RADIO,2,2982.0,1.0,manual
TAQUIPNEA TRANSITORIA DEL RECIÉN NACIDO,2,2974.0,1.0,manual
HIPERTROFIA DE LAS AMÍGDALAS,2,2971.0,1.0,manual
FARINGITIS ESTREPTOCÓCICA,1,2957.0,1.0,manual
"MORDEDURA O ATAQUE DE PERRO, VIVIENDA",1,2941.0,1.0,manual
OTROS DOLORES ABDOMINALES Y LOS NO ESPECIFICADOS,1,2940.0,1.0,manual
HERNIA INGUINAL,2,2924.0,1.0,manual
HIPOTIROIDISMO CONGÉNITO CON BOCIO DIFUSO,1,2890.0,1.0,manual
CONTUSIÓN DEL TOBILLO,1,2862.0,1.0,manual
SÍNCOPE Y COLAPSO,1,2861.0,1.0,manual
CONVULSIONES FEBRILES,1,2856.0,1.0,manual
CARCINOMA IN SITU DE LA PRÓSTATA,2,2856.0,1.0,manual
OTROS DESPLAZAMIENTOS ESPECIFICADOS DE DISCO INTERVERTEBRAL,2,2818.0,1.0,manual
OTRO PESO BAJO AL NACER,2,2814.0,1.0,manual
"NEUMONÍA BACTERIANA, NO ESPECIFICADA",2,2790.0,1.0,manual
PARTO UNICO ESPONTANEO,2,2785.0,1.0,manual
HERNIA UMBILICAL,2,2781.0,1.0,manual
"COLITIS Y GASTROENTERITIS NO INFECCIOSAS, NO ESPECIFICADAS",1,2764.0,1.0,manual
TUMOR MALIGNO DEL RECTO,3,2750.0,1.0,manual
OTRAS ENFERMEDADES ESPECIFICADAS DE LA VESÍCULA BILIAR,2,2741.0,1.0,manual
TAQUICARDIA SUPRAVENTRICULAR,2,2733.0,1.0,manual
FRACTURA DE LA EPÍFISIS INFERIOR DEL CÚBITO Y DEL RADIO,2,2702.0,1.0,manual
"CONTUSIÓN DE DEDO(S) DE LA MANO, SIN DAÑO DE LA(S) UÑA(S)",1,2671.0,1.0,manual
FRACTURA DE LA EPÍFISIS SUPERIOR DE LA TIBIA,2,2652.0,1.0,manual
FRACTURA DEL CUELLO DE FÉMUR,3,2645.0,1.0,manual
"ESPONDILITIS ANQUILOSANTE, SITIOS MÚLTIPLES DE LA COLUMNA VERTEBRAL",1,2634.0,1.0,manual
"TRAUMATISMO DE LA CABEZA, NO ESPECIFICADO",2,2619.0,1.0,manual
FIBRILACIÓN AURICULAR PAROXÍSTICA,2,2609.0,1.0,manual
OTRAS COLITIS ULCERATIVAS,3,2598.0,1.0,manual
ENFERMEDAD DE PARKINSON,1,2590.0,1.0,manual
ARTRITIS REUMATOIDE JUVENIL,1,2587.0,1.0,manual
"TRASTORNO METABÓLICO, NO ESPECIFICADO",1,2584.0,1.0,manual
"TRAUMATISMOS MÚLTIPLES, NO ESPECIFICADOS",3,2553.0,1.0,manual
"HERNIA DIAFRAGMÁTICA CON OBSTRUCCIÓN, SIN GANGRENA",3,2547.0,1.0,manual
"LESIÓN DEL HOMBRO, NO ESPECIFICADA",1,2531.0,1.0,manual
FRACTURA DE LA EPÍFISIS SUPERIOR DEL HÚMERO,2,2483.0,1.0,manual
OTRAS COLELITIASIS,2,2481.0,1.0,manual
CISTITIS AGUDA,1,2481.0,1.0,manual
DETENCIÓN DEL DESARROLLO DEL HUEVO Y MOLA NO HIDATIFORME,2,2461.0,1.0,manual
"ÚLCERA GÁSTRICA, AGUDA CON HEMORRAGIA",3,2461.0,1.0,manual
"TUMOR MALIGNO DEL RIÑÓN, EXCEPTO DE LA PELVIS RENAL",3,2454.0,1.0,manual
OTRAS AFECCIONES ESPECIFICADAS DE LOS DIENTES Y DE SUS ESTRUCTURAS DE SOSTÉN,1,2437.0,1.0,manual
CONSTIPACIÓN,1,2429.0,1.0,manual
"HEMORRAGIA GASTROINTESTINAL, NO ESPECIFICADA",3,2421.0,1.0,manual
ABDOMEN AGUDO,3,2415.0,1.0,manual
"HERNIA INCISIONAL CON OBSTRUCCIÓN, SIN GANGRENA",2,2405.0,1.0,manual
HEMORROIDES INTERNAS SIN COMPLICACIÓN,1,2379.0,1.0,manual
TUMOR BENIGNO DE LA HIPÓFISIS,3,2376.0,1.0,manual
"OTRAS LESIONES ARTICULARES ESPECÍFICAS, NO CLASIFICADAS EN OTRA PARTE",2,2376.0,1.0,manual
CONTUSIÓN DEL CODO,1,2361.0,1.0,manual
OBSTRUCCIÓN DE LA VESÍCULA BILIAR,2,2358.0,1.0,manual
NÓDULO TIROIDEO SOLITARIO NO TÓXICO,1,2327.0,1.0,manual
TUMOR MALIGNO DE LA CABEZA DEL PÁNCREAS,3,2312.0,1.0,manual
OTRAS CONVULSIONES Y LAS NO ESPECIFICADAS,3,2306.0,1.0,manual
ESGUINCE Y TORCEDURA DE LA MUÑECA,1,2284.0,1.0,manual
"NEUMONÍA VIRAL, NO ESPECIFICADA",2,2272.0,1.0,manual
OTRAS COLITIS Y GASTROENTERITIS NO INFECCIOSAS ESPECIFICADAS,1,2269.0,1.0,manual
"TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTÁNEO DE CABEZA, CARA Y CUELLO",2,2257.0,1.0,manual
PROSTATITIS AGUDA,1,2238.0,1.0,manual
CONTUSIÓN DE LA REGIÓN LUMBOSACRA Y DE LA PELVIS,1,2227.0,1.0,manual
OTROS PROCEDIMIENTOS PARA OTROS PROPÓSITOS QUE NO SEAN LOS DE MEJORAR EL ESTADO DE SALUD,1,2219.0,1.0,manual
